load,method,snapshot,class,admitted_traffic,demand,fulfill_ratio,oracle_admitted_traffic,norm_fulfill,raw_mlu,oracle_mlu,normalized_mlu,disabled_flow,admitted_capacity_ratio
2x,Hattrick,416,High,38.015472412109375,39.73426818847656,0.9567427635192871,38.015647888183594,0.9999954104423523,1.0000001192092896,1.356195092201233,0.7373571395874023,0.0,1.0000001192092896
2x,Hattrick,417,High,38.080501556396484,39.704002380371094,0.959109902381897,38.080902099609375,0.9999895095825195,1.0,1.3305509090423584,0.7515683770179749,0.0,1.0
2x,Hattrick,418,High,36.9732551574707,38.790985107421875,0.953140377998352,36.973419189453125,0.9999955892562866,0.9999998807907104,1.3786594867706299,0.7253421545028687,0.0,0.9999998807907104
2x,Hattrick,419,High,37.2827033996582,38.974910736083984,0.9565821290016174,37.28286361694336,0.9999957084655762,1.0,1.3490700721740723,0.7412513494491577,0.0,1.0
2x,Hattrick,420,High,37.28705596923828,38.226226806640625,0.9754312634468079,37.28720474243164,0.9999960064888,1.0,1.1956287622451782,0.8363800048828125,0.0,1.0
2x,Hattrick,421,High,37.03211212158203,38.05433654785156,0.9731377959251404,37.032310485839844,0.9999946355819702,1.0,1.212921380996704,0.824455738067627,0.0,1.0
2x,Hattrick,422,High,35.32234573364258,36.60314178466797,0.965008556842804,35.32260513305664,0.9999926686286926,1.0000001192092896,1.2667787075042725,0.7894039750099182,0.0,1.0000001192092896
2x,Hattrick,423,High,34.732112884521484,36.00008010864258,0.9647787809371948,34.73232650756836,0.9999938607215881,1.0000001192092896,1.2641162872314453,0.791066586971283,0.0,1.0000001192092896
2x,Hattrick,424,High,35.226898193359375,36.33315658569336,0.9695523977279663,35.22708511352539,0.999994695186615,1.0,1.2304308414459229,0.8127234578132629,0.0,1.0
2x,Hattrick,425,High,35.65220642089844,36.793052673339844,0.9689928889274597,35.65238952636719,0.9999948740005493,1.0000001192092896,1.2376377582550049,0.8079909682273865,0.0,1.0000001192092896
2x,Hattrick,426,High,36.13074493408203,37.17595672607422,0.9718847274780273,36.13092803955078,0.9999949336051941,1.0000001192092896,1.2177149057388306,0.8212103843688965,0.0,1.0000001192092896
2x,Hattrick,427,High,36.252342224121094,37.54222106933594,0.9656419157981873,36.25252914428711,0.9999948143959045,1.0000001192092896,1.268684983253479,0.7882178425788879,0.0,1.0000001192092896
2x,Hattrick,428,High,34.43061065673828,35.29963684082031,0.9753814339637756,34.4307746887207,0.999995231628418,1.0,1.181014060974121,0.8467299938201904,0.0,1.0
2x,Hattrick,429,High,34.68242263793945,35.49671173095703,0.9770601391792297,34.682586669921875,0.9999952912330627,1.0000001192092896,1.1696094274520874,0.8549863696098328,0.0,1.0000001192092896
2x,Hattrick,430,High,34.19580841064453,34.91438293457031,0.979418933391571,34.19598388671875,0.9999948740005493,1.000000238418579,1.149666428565979,0.8698177337646484,0.0,1.000000238418579
2x,Hattrick,431,High,34.33985137939453,35.26498794555664,0.9737661480903625,34.340057373046875,0.9999939799308777,1.0,1.1926939487457275,0.8384380340576172,0.0,1.0
2x,Hattrick,400,Medium,23.105106353759766,40.628265380859375,0.5686953663825989,24.583816528320312,0.9398502707481384,1.0000001192092896,3.2141096591949463,0.3111281991004944,0.0,1.0000001192092896
2x,Hattrick,401,Medium,23.357894897460938,41.385414123535156,0.5643991827964783,24.992332458496094,0.9346024394035339,1.0000003576278687,3.5123562812805176,0.28470927476882935,0.0,1.0000003576278687
2x,Hattrick,402,Medium,23.946128845214844,41.25141143798828,0.580492377281189,25.460670471191406,0.9405144453048706,1.000000238418579,3.431577682495117,0.29141122102737427,0.0,1.000000238418579
2x,Hattrick,403,Medium,22.64718246459961,40.52296447753906,0.5588728189468384,24.267559051513672,0.9332286715507507,1.0000001192092896,3.3813321590423584,0.295741468667984,0.0,1.0000001192092896
2x,Hattrick,404,Medium,22.360733032226562,40.07636642456055,0.5579531192779541,24.088844299316406,0.9282609224319458,1.000000238418579,3.1774985790252686,0.3147130310535431,0.0,1.000000238418579
2x,Hattrick,405,Medium,22.596826553344727,40.681983947753906,0.555450439453125,24.199779510498047,0.9337616562843323,1.000000238418579,3.3876380920410156,0.2951909899711609,0.0,1.000000238418579
2x,Hattrick,406,Medium,21.84626579284668,39.240108489990234,0.5567330718040466,23.508407592773438,0.9292958378791809,1.0000001192092896,3.1792373657226562,0.31454089283943176,0.0,1.0000001192092896
2x,Hattrick,407,Medium,21.8299560546875,38.75175476074219,0.563328206539154,23.411922454833984,0.9324290156364441,1.0000001192092896,2.9744250774383545,0.33619946241378784,0.0,1.0000001192092896
